	(1)	(2)	(3)	(4)	(5)
VARIABLES	Male hourly workers DC	all hourly workers DC	male hourly + extra OT wage workers DC	all hourly + extra OT wage workers DC	all workers DC
					
headwhite	0.00846**	0.00836**	0.00979***	0.00968***	0.0104***
	(0.00406)	(0.00401)	(0.00243)	(0.00239)	(0.00214)
headblack	0.00273	0.00178	-0.000152	-0.000136	-0.00325
	(0.00406)	(0.00400)	(0.00243)	(0.00239)	(0.00215)
headage	-0.00200***	-0.00135**	-0.00142***	-0.00147***	-0.00133***
	(0.000711)	(0.000660)	(0.000392)	(0.000363)	(0.000314)
headage2	3.39e-05***	2.58e-05***	2.45e-05***	2.44e-05***	2.22e-05***
	(8.32e-06)	(7.70e-06)	(4.62e-06)	(4.27e-06)	(3.68e-06)
faminc	1.37e-06***	1.29e-06***	1.13e-06***	1.10e-06***	9.72e-07***
	(1.14e-07)	(1.08e-07)	(6.27e-08)	(5.96e-08)	(4.62e-08)
selfEmployed	-0.00674	-0.00674	-0.00401**	-0.00451***	-0.00634***
	(0.00518)	(0.00514)	(0.00174)	(0.00172)	(0.00135)
headmarried	-0.0156***	-0.0153***	-0.0109***	-0.0119***	-0.00902***
	(0.00328)	(0.00218)	(0.00189)	(0.00127)	(0.00109)
famsize	-0.00345***	-0.00390***	-0.00317***	-0.00326***	-0.00320***
	(0.000486)	(0.000462)	(0.000283)	(0.000266)	(0.000235)
2.headedu	0.00429**	0.00540***	0.00485***	0.00474***	0.00431***
	(0.00212)	(0.00199)	(0.00128)	(0.00120)	(0.00103)
3.headedu	0.00788***	0.00779***	0.00813***	0.00795***	0.00926***
	(0.00227)	(0.00209)	(0.00132)	(0.00123)	(0.00106)
4.headedu	0.00538	0.00924*	0.00776***	0.00708***	0.0117***
	(0.00499)	(0.00493)	(0.00231)	(0.00217)	(0.00161)
pros_and_managers	0.00901***	0.00727**	0.00939***	0.00973***	0.0163***
	(0.00337)	(0.00312)	(0.00165)	(0.00156)	(0.00115)
farm_or_service	-0.00276	0.000493	0.00131	0.00359***	0.00354***
	(0.00226)	(0.00205)	(0.00131)	(0.00120)	(0.00108)
services	0.00315	0.0119***	-0.00256	0.00330**	-9.62e-05
	(0.00337)	(0.00275)	(0.00177)	(0.00151)	(0.00124)
bluecol	-0.000783	-0.000292	-0.00319***	-0.00274**	-0.00546***
	(0.00218)	(0.00205)	(0.00122)	(0.00116)	(0.00101)
finance	0.00536	0.00706	0.00875***	0.0128***	0.00800***
	(0.00779)	(0.00629)	(0.00329)	(0.00285)	(0.00218)
govt	0.00193	0.00418	-0.00302	-0.00154	0.00387**
	(0.00416)	(0.00400)	(0.00225)	(0.00212)	(0.00171)
homeowner	0.00302	-0.000142	0.00313***	0.000960	0.00156*
	(0.00189)	(0.00173)	(0.00113)	(0.00104)	(0.000898)
lnwage	0.00425*	0.00700***	1.12e-06	0.00205*	0.000912
	(0.00246)	(0.00229)	(0.00127)	(0.00118)	(0.00101)
					
Observations	12,010	15,021	29,819	37,203	52,810
Standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
Marginal effects at means					
