	(1)	(2)	(3)	(4)	(5)
VARIABLES	Male hourly workers UC	all hourly workers UC	male hourly + extra OT wage workers UC	all hourly + extra OT wage workers UC	all workers UC
					
headwhite	-0.0449**	-0.0414**	-0.0530***	-0.0493***	-0.0470***
	(0.0215)	(0.0199)	(0.0131)	(0.0121)	(0.00961)
headblack	-0.0145	-0.00885	0.000824	0.000694	0.0147
	(0.0215)	(0.0198)	(0.0132)	(0.0121)	(0.00969)
headage	0.0106***	0.00671**	0.00767***	0.00750***	0.00601***
	(0.00376)	(0.00327)	(0.00212)	(0.00185)	(0.00142)
headage2	-0.000180***	-0.000128***	-0.000132***	-0.000124***	-0.000100***
	(4.39e-05)	(3.81e-05)	(2.49e-05)	(2.17e-05)	(1.66e-05)
faminc	-7.28e-06***	-6.40e-06***	-6.12e-06***	-5.58e-06***	-4.38e-06***
	(5.61e-07)	(5.06e-07)	(3.16e-07)	(2.87e-07)	(2.00e-07)
selfEmployed	0.0358	0.0334	0.0217**	0.0230***	0.0286***
	(0.0275)	(0.0255)	(0.00938)	(0.00874)	(0.00608)
headmarried	0.0827***	0.0759***	0.0589***	0.0604***	0.0407***
	(0.0172)	(0.0106)	(0.0102)	(0.00638)	(0.00488)
famsize	0.0183***	0.0194***	0.0172***	0.0166***	0.0144***
	(0.00251)	(0.00222)	(0.00149)	(0.00132)	(0.00103)
2.headedu	-0.0235**	-0.0275***	-0.0276***	-0.0253***	-0.0219***
	(0.0114)	(0.00990)	(0.00711)	(0.00623)	(0.00511)
3.headedu	-0.0410***	-0.0384***	-0.0438***	-0.0403***	-0.0429***
	(0.0114)	(0.00998)	(0.00687)	(0.00604)	(0.00480)
4.headedu	-0.0290	-0.0446**	-0.0421***	-0.0364***	-0.0518***
	(0.0252)	(0.0214)	(0.0114)	(0.0103)	(0.00652)
pros_and_managers	-0.0478***	-0.0361**	-0.0508***	-0.0495***	-0.0736***
	(0.0178)	(0.0154)	(0.00887)	(0.00790)	(0.00511)
farm_or_service	0.0147	-0.00245	-0.00710	-0.0183***	-0.0160***
	(0.0120)	(0.0101)	(0.00711)	(0.00611)	(0.00488)
services	-0.0167	-0.0590***	0.0138	-0.0168**	0.000434
	(0.0179)	(0.0135)	(0.00959)	(0.00767)	(0.00559)
bluecol	0.00415	0.00145	0.0173***	0.0140**	0.0246***
	(0.0116)	(0.0102)	(0.00657)	(0.00589)	(0.00453)
finance	-0.0284	-0.0350	-0.0474***	-0.0652***	-0.0361***
	(0.0414)	(0.0312)	(0.0178)	(0.0145)	(0.00983)
govt	-0.0102	-0.0207	0.0163	0.00783	-0.0174**
	(0.0221)	(0.0198)	(0.0122)	(0.0108)	(0.00771)
homeowner	-0.0160	0.000704	-0.0169***	-0.00489	-0.00705*
	(0.0100)	(0.00858)	(0.00610)	(0.00531)	(0.00405)
lnwage	-0.0226*	-0.0347***	-6.05e-06	-0.0104*	-0.00412
	(0.0130)	(0.0113)	(0.00685)	(0.00601)	(0.00455)
					
Observations	12,010	15,021	29,819	37,203	52,810
Standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
Marginal effects at means					
