	(1)	(2)	(3)	(4)	(5)
VARIABLES	Male hourly workers NCtoDC	all hourly workers NCtoDC	male hourly + extra OT wage workers NCtoDC	all hourly + extra OT wage workers NCtoDC	all workers NCtoDC
					
o.gender	-		-		
					
headblack	-0.0111***	-0.0127***	-0.0146***	-0.0146***	-0.0182***
	(0.00325)	(0.00281)	(0.00263)	(0.00229)	(0.00211)
headage	0.00113	0.000864	0.000751	0.000210	0.000443
	(0.000747)	(0.000668)	(0.000538)	(0.000489)	(0.000409)
headage2	4.36e-07	1.97e-06	3.41e-06	8.51e-06	4.31e-06
	(8.75e-06)	(7.80e-06)	(6.22e-06)	(5.65e-06)	(4.72e-06)
2.headedu	0.0101***	0.0116***	0.0125***	0.0121***	0.0107***
	(0.00260)	(0.00242)	(0.00206)	(0.00191)	(0.00151)
3.headedu	0.0196***	0.0190***	0.0167***	0.0159***	0.0176***
	(0.00270)	(0.00241)	(0.00199)	(0.00181)	(0.00144)
4.headedu	0.0341***	0.0344***	0.0292***	0.0302***	0.0327***
	(0.00585)	(0.00522)	(0.00361)	(0.00340)	(0.00196)
famincchg_1yr	0.0223***	0.0212***	0.0136***	0.0125***	0.0143***
	(0.00434)	(0.00359)	(0.00245)	(0.00221)	(0.00181)
dislmtHw_chg	0.00315	0.00310	-0.000383	0.000689	0.000739
	(0.00478)	(0.00414)	(0.00350)	(0.00312)	(0.00270)
selfEmp_chg	-0.0145***	-0.0178***	-0.00462	-0.00605*	-0.00615**
	(0.00550)	(0.00530)	(0.00373)	(0.00358)	(0.00267)
famsize_chg	-0.00193	-0.00312*	-0.00115	-0.00192	-0.00252**
	(0.00175)	(0.00164)	(0.00136)	(0.00130)	(0.00109)
headocc_chg	-0.00481	-0.00555*	-0.00281	-0.00344	-0.000466
	(0.00328)	(0.00302)	(0.00262)	(0.00243)	(0.00199)
headind_chg	-0.00820**	-0.00467	-0.00516*	-0.00377	-0.00909***
	(0.00390)	(0.00360)	(0.00302)	(0.00281)	(0.00226)
homeown_chg	-0.00144	-0.00316	0.00250	0.000277	-0.000822
	(0.00438)	(0.00411)	(0.00300)	(0.00282)	(0.00238)
headmarried_chg	-0.0105	0.00514	-0.00549	0.00565	-0.00850*
	(0.00873)	(0.00722)	(0.00655)	(0.00560)	(0.00454)
hstatus_chg	0.00969	0.0201	-0.0126	-0.00314	-0.0208
	(0.0308)	(0.0235)	(0.0169)	(0.0152)	(0.0166)
lnwage_chg	-0.0189***	-0.0180***	-0.00995***	-0.00940***	-0.0103***
	(0.00477)	(0.00431)	(0.00272)	(0.00255)	(0.00210)
gender		0.00494**		0.00195	0.000137
		(0.00244)		(0.00196)	(0.00164)
					
Observations	12,423	15,703	18,500	22,779	37,633
Standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
Marginal effects at means; includes year fixed effects.					
