	(1)	(2)	(3)	(4)	(5)
VARIABLES	Male hourly workers NCtoUC	all hourly workers NCtoUC	male hourly + extra OT wage workers NCtoUC	all hourly + extra OT wage workers NCtoUC	all workers NCtoUC
					
headwhite	-0.151***	-0.131***	-0.118***	-0.112***	-0.101***
	(0.0230)	(0.0209)	(0.0163)	(0.0149)	(0.0107)
headblack	-0.0831***	-0.0691***	-0.0288*	-0.0338**	-0.00878
	(0.0233)	(0.0210)	(0.0166)	(0.0151)	(0.0109)
headage	0.00357	0.00412	0.00342	0.00473**	0.00284*
	(0.00384)	(0.00332)	(0.00260)	(0.00228)	(0.00155)
headage2	-7.67e-05*	-7.81e-05**	-6.76e-05**	-7.95e-05***	-5.04e-05***
	(4.45e-05)	(3.84e-05)	(2.99e-05)	(2.62e-05)	(1.78e-05)
famincchg_1yr	-0.140***	-0.0998***	-0.0837***	-0.0704***	-0.0551***
	(0.0194)	(0.0147)	(0.0117)	(0.00966)	(0.00666)
dislmtHw_chg	0.00957	0.00961	0.00697	0.00501	0.00806
	(0.0207)	(0.0168)	(0.0141)	(0.0119)	(0.00827)
selfEmp_chg	0.0557**	0.0513**	0.00990	0.0121	0.0109
	(0.0257)	(0.0241)	(0.0169)	(0.0160)	(0.00968)
famsize_chg	0.00676	0.00882	0.00456	0.00563	0.00575*
	(0.00668)	(0.00596)	(0.00493)	(0.00442)	(0.00307)
headedu_chg	0.0144	0.0152	0.00181	0.00489	-0.00570
	(0.0154)	(0.0135)	(0.0108)	(0.00946)	(0.00618)
headocc_chg	0.0305**	0.0264**	0.0233**	0.0222**	0.0117*
	(0.0135)	(0.0121)	(0.0101)	(0.00909)	(0.00616)
headind_chg	0.0122	0.0100	0.0135	0.00660	0.0152**
	(0.0166)	(0.0147)	(0.0120)	(0.0108)	(0.00714)
homeown_chg	0.0204	0.0260	-0.00886	-0.00219	0.00174
	(0.0192)	(0.0171)	(0.0119)	(0.0107)	(0.00739)
headmarried_chg	-0.00929	-0.0262	-0.0133	-0.0288	0.00490
	(0.0361)	(0.0258)	(0.0252)	(0.0187)	(0.0130)
hstatus_chg	-0.0866	-0.0782	0.0714	0.0646	0.0497
	(0.198)	(0.175)	(0.0920)	(0.0885)	(0.0654)
lnwage_chg	0.0629***	0.0403**	0.0384***	0.0339***	0.0241***
	(0.0226)	(0.0191)	(0.0127)	(0.0113)	(0.00767)
					
Observations	6,769	8,695	12,738	16,217	26,299
Standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
Marginal effects at means					
