No Unemployed time t-1									
		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS	Became UC	Became UC	Became UC	Became UC	Escaped UC	Escaped UC	Escaped UC	Escaped UC
									
headage	Head age	0.00107	-0.000213	0.00113	-0.00289	-0.0215***	-0.0188**	-0.0191***	-0.0263**
		(0.00137)	(0.00187)	(0.00184)	(0.00288)	(0.00520)	(0.00762)	(0.00715)	(0.0117)
headage_squared	Head age^2	-4.31e-05***	-2.89e-05	-2.91e-05	7.67e-06	0.000287***	0.000272***	0.000225***	0.000303**
		(1.49e-05)	(2.04e-05)	(1.90e-05)	(3.08e-05)	(6.10e-05)	(9.04e-05)	(8.19e-05)	(0.000137)
headblack	Head black	0.0555***	0.0625***	0.0522***	0.0565***	-0.0282	0.0171	-0.0573***	-0.0209
		(0.00886)	(0.0120)	(0.0124)	(0.0172)	(0.0172)	(0.0240)	(0.0213)	(0.0349)
2.headedu		-0.0368***	-0.0430***	-0.0248***	-0.0248*	0.00392	0.0184	0.0105	0.0217
		(0.00701)	(0.00910)	(0.00866)	(0.0129)	(0.0191)	(0.0282)	(0.0228)	(0.0390)
3.headedu		-0.0554***	-0.0563***	-0.0440***	-0.0431***	0.0521***	0.0517**	0.0463*	0.0350
		(0.00616)	(0.00810)	(0.00773)	(0.0113)	(0.0187)	(0.0257)	(0.0248)	(0.0382)
4.headedu		-0.102***	-0.0989***	-0.0710***	-0.0664***	0.0992***	0.118***	0.0645	0.108**
		(0.00618)	(0.00805)	(0.00783)	(0.0114)	(0.0302)	(0.0383)	(0.0430)	(0.0516)
became_married	Became married	-0.0130	-0.0276			-0.0561	-0.0421		
		(0.0148)	(0.0219)			(0.0497)	(0.0841)		
stay_married	Stay married	0.00810	0.0196***			-0.0544***	-0.0293		
		(0.00535)	(0.00722)			(0.0168)	(0.0249)		
became_div_sep	Became divorced/separated	0.000316	0.0186			0.0274	0.149**		
		(0.0161)	(0.0258)			(0.0476)	(0.0739)		
chg_num_children	Chg. in # of children	0.00132	-0.00159	0.00109	0.00244	0.00765	0.0247	0.00825	0.0306
		(0.00414)	(0.00611)	(0.00537)	(0.00898)	(0.0110)	(0.0159)	(0.0145)	(0.0251)
chg_nonlabor_inc	Chg. family's non-labor income	-2.98e-07***	-8.24e-08	-2.71e-07**	-8.23e-08	1.08e-06	1.18e-06	8.38e-07	1.39e-06
		(1.10e-07)	(1.67e-07)	(1.14e-07)	(1.70e-07)	(1.12e-06)	(1.22e-06)	(1.26e-06)	(1.46e-06)
chg_log_headwage	Chg. ln head wage	-0.00150	-0.0111***	-0.000337	-0.00813	0.00441	0.0123	0.00658	0.0177
		(0.00280)	(0.00398)	(0.00324)	(0.00523)	(0.00788)	(0.0152)	(0.0102)	(0.0182)
chglog_headhour	Chg. ln head annual hours	-0.0104*	-0.0506***	-0.0311***	-0.0591***	0.0612***	0.0501**	0.0610***	0.0521*
		(0.00559)	(0.0104)	(0.00600)	(0.0161)	(0.0141)	(0.0228)	(0.0165)	(0.0266)
became_hmowner	Became homeowner	0.0181*	0.0233	0.0179	0.0201	-0.0107	-0.0139	-0.0195	-0.0929
		(0.00925)	(0.0153)	(0.0117)	(0.0215)	(0.0266)	(0.0442)	(0.0324)	(0.0613)
dislimithswrk	Disability limits house work	-0.00744	-0.0157	-0.0153*	-0.0236*	0.00619	-0.00449	-0.00311	-0.0173
		(0.00683)	(0.00978)	(0.00854)	(0.0137)	(0.0238)	(0.0348)	(0.0317)	(0.0523)
headsecjob	Head has 2+ jobs	0.0115**	0.0203**	0.0123**	0.0235**	0.00492	0.0237	0.00925	0.0532
		(0.00509)	(0.00870)	(0.00609)	(0.0117)	(0.0172)	(0.0313)	(0.0211)	(0.0434)
ft_to_pt	FT to PT	0.0783***	0.0609***	0.0826***	0.0769***	-0.00839	-0.0119	-0.0217	-0.0803*
		(0.00814)	(0.0124)	(0.0107)	(0.0187)	(0.0207)	(0.0315)	(0.0265)	(0.0445)
pt_to_ft	PT to FT	0.0260***	0.0460***	0.0400***	0.0733***	0.0210	0.0251	0.00860	-0.00246
		(0.00808)	(0.0130)	(0.0109)	(0.0211)	(0.0187)	(0.0306)	(0.0233)	(0.0430)
pt_to_pt	PT to PT	0.0473***	0.0452***	0.0580***	0.0646***	-0.112***	-0.117***	-0.125***	-0.126***
		(0.00798)	(0.0105)	(0.0116)	(0.0176)	(0.0184)	(0.0260)	(0.0242)	(0.0396)
became_hourlywaged	Became hourly wage worker	0.0679***	0.0716***	0.0624***	0.0684***	-0.0283	-0.0780**	-0.0223	-0.0347
		(0.00936)	(0.0119)	(0.0136)	(0.0252)	(0.0235)	(0.0339)	(0.0329)	(0.0589)
chgd_jobs	Chg'd job		0.0229***		0.00734		0.0753***		0.0645**
			(0.00854)		(0.0109)		(0.0244)		(0.0324)
relocated			0.00694		0.00132		0.0379		0.0378
			(0.00839)		(0.0126)		(0.0251)		(0.0383)
got_addl_job	Got add'l job		-0.0139		-0.0142		-0.00318		-0.0781
			(0.0122)		(0.0167)		(0.0367)		(0.0564)
chgd_union_status	Chg'd union status		0.00479		-0.0116		0.0416		0.00562
			(0.0117)		(0.0161)		(0.0315)		(0.0458)
chg_foodout	Chg. food-out ratio		-7.47e-06*		-1.06e-05**		1.75e-05		3.10e-05*
			(3.89e-06)		(4.21e-06)		(1.63e-05)		(1.81e-05)
chg_housework_hours	Chg. HW hours		1.12e-05*		1.53e-05*		-8.33e-06		-2.25e-06
			(6.26e-06)		(8.15e-06)		(1.86e-05)		(2.31e-05)
chglog_wifehour	Chg. ln wife annual hours			0.000358	-0.000648			-0.00120	-0.0126**
				(0.000934)	(0.00198)			(0.00269)	(0.00625)
wifeage	Wife age			-0.00183***	-0.00123			0.00349	0.00554
				(0.000663)	(0.00102)			(0.00229)	(0.00397)
2.wifeedu				-0.0416***	-0.0614***			-0.0125	-0.0436
				(0.00996)	(0.0169)			(0.0238)	(0.0422)
3.wifeedu				-0.0616***	-0.0733***			0.0345	0.0469
				(0.00989)	(0.0166)			(0.0267)	(0.0479)
4.wifeedu				-0.0854***	-0.0963***			0.0824**	0.0764
				(0.0107)	(0.0179)			(0.0414)	(0.0709)
wife_enters_workforce	Wife starts working				0.0101				0.125**
					(0.0188)				(0.0571)
ft_to_unemp	FT to Unemp.					-0.467***		-0.443***	
						(0.0337)		(0.0367)	
pt_to_unemp	PT to Unemp.					-0.184		-0.493***	
						(0.204)		(0.0487)	
Constant	Constant	0.163***	0.172***	0.241***	0.309***	0.910***	0.770***	0.739***	0.794***
		(0.0297)	(0.0414)	(0.0385)	(0.0618)	(0.106)	(0.158)	(0.141)	(0.229)
									
Observations		42,273	18,252	26,119	9,032	13,485	5,577	8,213	2,656
R-squared		0.036	0.043	0.045	0.052	0.029	0.037	0.037	0.056
Year FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Dep. var. mean		0.101	0.131	0.136	0.136	0.510	0.510	0.499	0.499
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
